"timestamp";"cul_es_tu...l_actual";"cul_de_lo...apliquen";"cul_de_la...apliquen";"qu_porcen...acin_etc";"aproximad...trabajas";"en_qu_tip...trabajas";"cul_es_la...opcional";"cul_es_el...anos_cop";"qu_tan_se...otamente";"cuntos_ao...ecnologa";"cuntos_ao...nalytics";"cul_es_el...mpletado";"cmo_has_a...apliquen";"cunto_tie...opcional";"de_los_si...cia_c__c";"de_los_si...uencia_c";"de_los_si...cia_java";"de_los_si...__nodejs";"de_los_si...ia_julia";"de_los_si...__octave";"de_los_si...ncia_php";"de_los_si...a_python";"de_los_si...ncia_sql";"de_los_si...uencia_r";"de_los_si...cia_ruby";"de_los_si...__elixir";"de_los_si...ia_scala";"de_los_si...__kotlin";"de_los_si...he_storm";"de_los_si...he_spark";"de_los_si...a_arcgis";"de_los_si...cia_aws_";"de_los_si...ia_azure";"de_los_si...ia_caffe";"de_los_si...cia_cntk";"de_los_si..._core_ml";"de_los_si...arning4j";"de_los_si...icsearch";"de_los_si...ncia_h2o";"de_los_si...a_hadoop";"de_los_si...le_cloud";"de_los_si...ia_excel";"de_los_si...cia_hive";"de_los_si...m_watson";"de_los_si..._jupyter";"de_los_si...ia_kafka";"de_los_si...a_kibana";"de_los_si...ia_knime";"de_los_si...ia_gephi";"de_los_si...logstash";"de_los_si...ia_mysql";"de_los_si..._mongodb";"de_los_si...ia_mxnet";"de_los_si...ia_neo4j";"de_los_si...a_oracle";"de_los_si...a_pandas";"de_los_si...stgresql";"de_los_si..._powerbi";"de_los_si...h__torch";"de_los_si...ik_sense";"de_los_si...ia_redis";"de_los_si...pidminer";"de_los_si...ncia_sas";"de_los_si...cia_spss";"de_los_si...kitlearn";"de_los_si...l_server";"de_los_si...ia_stata";"de_los_si..._tableau";"de_los_si...nsorflow";"de_los_si...idyverse";"adicional..._trabajo";"cules_de_...opcional";"en_qu_ciu...ualmente";"cul_es_tu..._de_edad";"con_qu_gn...ntificas";"de_los_si...ia_keras";"desarrollador...d__fullstack";"analista_de_datos";"cientfico_de_datos";"ingeniero_de_datos";"ingeniero_de_...ine_learning";"lider_de_equi...r__ejecutivo";"administrador...ses_de_datos";"product_manager";"analista_de_negocios";"estudiante";"docente__educador";"investigador_acadmico";"administrador...ta_en_devops";"creacin_y_man...macenamiento";"etl";"etc";"desarrollo_de...ocesar_datos";"anlisis_de_da...ine_learning";"despliege_de_...en_produccin";"entrenamiento..._estadsticos";"generacin_de_...s_e_informes";"identificacin...os_con_datos";"visualizacion...e_dashboards";"investigacin_...os_y_tcnicas";"liderazgo_de_...yo_ingeniera";"no_realizo_tr...do_con_datos";"especializaciones_online";"educacin_formal_pregrado";"educacin_formal_posgrado";"cursos_online_...aciones_pagas";"blog_posts_y_artculos";"cursos_online_gratis";"libros";"papers_de_investigacin";"videos";"conferencias_p...les_y_meetups";"cursos_presenc...s_de_extensin";"podcasts";"especializaciones_presenciales"
2019-06-12 19:13:06;"Empleado, tiempo completo";"Desarrollador Back-End / Front-End / Full-Stack";"Creación y mantenimiento de infraestructura de datos almacenamiento, ETL, etc";"Solo en pocas ocasiones trabajo con análisis de datos o actividades relacionadas";"50 a 99";"Empresa colombiana solo con ventas locales";"SaaS";"(3e+06,4e+06]";"Unos pocos días al mes";"2 años";"Menos de 1 año";"Posgrado: Master";"Especializaciones online, Educación formal pregrado, Educación formal posgrado";"2 a 3 semanas";NA;NA;NA;NA;NA;NA;NA;"Lo uso exclusivamente en proyectos personales";NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Bogotá";"25 a 29 años";"Hombre";NA;"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No"
2019-06-12 19:13:42;"Empleado, tiempo completo";"Desarrollador Back-End / Front-End / Full-Stack";"Desarrollo de software para recoger y procesar datos";"Cerca de 1/4 del tiempo";"1000 a 4999";"Empresa colombiana con ventas locales e internacionales";"Otra";"(0,1e+06]";"Muy rara vez o nunca";"8 años";"Menos de 1 año";"Pregrado universitario, con título";"Cursos online pagos o con certificaciones pagas";"No recuerdo";NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;"Lo uso en el trabajo regularmente";NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;"Bogotá";"30 a 34 años";"Hombre";NA;"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No"
2019-06-12 19:13:47;"Empleado, tiempo completo";"Analista de Datos, Científico de Datos, Ingeniero de Datos, Ingeniero de Machine Learning";"Análisis de datos usando métodos estadísticos o machine learning, Creación y mantenimiento de infraestructura de datos almacenamiento, ETL, etc, Despliege de modelos de machine learning o estadísticos en producción, Entrenamiento y validación de modelos de machine learning o estadísticos";"Cerca de la mitad del tiempo";"50 a 99";"Empresa colombiana con ventas locales e internacionales";"SaaS";"(3e+06,4e+06]";"Muy rara vez o nunca";"2 años";"2 años";"Pregrado universitario, con título";"Blog posts y Artículos, Cursos online gratis, Libros, Papers de investigación, Videos";"2 a 3 semanas";NA;NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";"Lo uso en el trabajo regularmente";NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Otra";"20 a 24 años";"Hombre";NA;"No";"Sí";"Sí";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"No";"Sí";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"Sí";"Sí";"No";"No";"No";"No"
2019-06-12 19:14:50;"Empleado, medio tiempo";"Auditor TI";"Análisis de datos usando métodos estadísticos o machine learning, Generación de reportes e informes, Identificación de problemas de negocio que pueden ser resueltos con datos, Visualizaciones de datos y generación de dashboards";"Solo en pocas ocasiones trabajo con análisis de datos o actividades relacionadas";"500 a 999";"Empresa colombiana con ventas locales e internacionales";"Fintech";"(2e+06,3e+06]";"Muy rara vez o nunca";"5 años";"1 año";"Pregrado universitario, con título";"Blog posts y Artículos, Conferencias presenciales y Meetups, Cursos online gratis, Libros";"4 a 5 semanas";"No lo uso actualmente";NA;"Lo uso exclusivamente en proyectos personales";NA;NA;NA;NA;"Lo uso exclusivamente en proyectos personales";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso exclusivamente en proyectos personales";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Bogotá";"30 a 34 años";"Hombre";NA;"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"No";"No";"Sí";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"No";"No";"Sí";"No";"No";"No"
2019-06-12 19:15:00;"Emprendedor";"Lider de Equipo / Manager / Ejecutivo";"Análisis de datos usando métodos estadísticos o machine learning, Creación y mantenimiento de infraestructura de datos almacenamiento, ETL, etc, Identificación de problemas de negocio que pueden ser resueltos con datos, Investigación de nuevos algoritmos y técnicas";"Cerca de la mitad del tiempo";"20 a 49";"Empresa colombiana con ventas locales e internacionales";"Internet / Servicios Web";"(8e+06,1e+07]";"Muy rara vez o nunca";"5 años";"1 año";"Pregrado universitario, con título";"Blog posts y Artículos, Conferencias presenciales y Meetups, Cursos online gratis, Especializaciones online, Libros, Papers de investigación, Videos";"1 semana o menos";"Lo uso exclusivamente en proyectos personales";"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";"No lo uso actualmente";"Lo uso exclusivamente en proyectos personales";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";NA;"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";"No lo uso actualmente";NA;"No lo uso actualmente";NA;"No lo uso actualmente";"No lo uso actualmente";NA;"No lo uso actualmente";"Lo uso exclusivamente en proyectos personales";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";NA;"Lo uso exclusivamente en proyectos personales";"No lo uso actualmente";"Lo uso exclusivamente en proyectos personales";NA;"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";NA;"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";NA;"Algoritmos de Optimización, Aprendizaje Supervisado (Regresión lineal/logística, SVM, ANOVA, HMM, etc), Redes Neuronales y Deep Learning (RNN, CNN, GAN, RBM, etc)";NA;"25 a 29 años";"Hombre";NA;"No";"No";"No";"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"No";"Sí";"No";"No";"No";"Sí";"No";"Sí";"No";"No";"Sí";"No";"No";"No";"Sí";"Sí";"Sí";"Sí";"Sí";"Sí";"No";"No";"No"
2019-06-12 19:15:02;"Empleado, tiempo completo";"Científico de Datos";"Análisis de datos usando métodos estadísticos o machine learning, Despliege de modelos de machine learning o estadísticos en producción, Generación de reportes e informes, Entrenamiento y validación de modelos de machine learning o estadísticos, Visualizaciones de datos y generación de dashboards";"Todo el tiempo o casi todo el tiempo";"5000 a 9999";"Empresa colombiana con ventas locales e internacionales";"Comercio Minorista";"(5e+06,6e+06]";"Muy rara vez o nunca";"Menos de 1 año";"2 años";"Posgrado: Master";"Cursos online gratis, Educación formal pregrado, Educación formal posgrado";"1 semana o menos";NA;NA;NA;NA;"No lo uso actualmente";NA;NA;"Lo uso en el trabajo regularmente";"Lo uso en el trabajo regularmente";"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;"No lo uso actualmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";"Lo uso en el trabajo regularmente";NA;NA;NA;"Lo uso en el trabajo regularmente";NA;"Algoritmos de Optimización, Métodos de Ensamble (Random forests, boosting, etc)";"Bogotá";"20 a 24 años";"Mujer";NA;"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"Sí";"No";"Sí";"No";"No";"No";"No";"Sí";"Sí";"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No"
2019-06-12 19:15:04;"Empleado, tiempo completo";"Científico de Datos";"Análisis de datos usando métodos estadísticos o machine learning, Creación y mantenimiento de infraestructura de datos almacenamiento, ETL, etc, Despliege de modelos de machine learning o estadísticos en producción, Generación de reportes e informes, Entrenamiento y validación de modelos de machine learning o estadísticos, Identificación de problemas de negocio que pueden ser resueltos con datos, Visualizaciones de datos y generación de dashboards";"Cerca de 3/4 del tiempo";"100 a 499";"Empresa extranjera con sede y ventas en Colombia y en el exterior";"Fintech";"(6e+06,8e+06]";"Unos pocos días al mes";"2 años";"3 años";"Pregrado universitario, con título";"Blog posts y Artículos, Conferencias presenciales y Meetups, Cursos online gratis, Cursos online pagos o con certificaciones pagas, Cursos presenciales / Cursos de extensión, Libros, Podcasts, Videos";"6 a 7 semanas";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo regularmente";"Lo uso en el trabajo regularmente";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";NA;"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo regularmente";"No lo uso actualmente";"No lo uso actualmente";NA;"No lo uso actualmente";NA;"No lo uso actualmente";"No lo uso actualmente";NA;"No lo uso actualmente";"Lo uso exclusivamente en proyectos personales";"No lo uso actualmente";"No lo uso actualmente";"No lo uso actualmente";NA;"Lo uso en el trabajo regularmente";"Lo uso exclusivamente en proyectos personales";"Lo uso exclusivamente en proyectos personales";NA;"No lo uso actualmente";"Lo uso exclusivamente en proyectos personales";"No lo uso actualmente";"No lo uso actualmente";"Lo uso en el trabajo, pero con poca frecuencia";"No lo uso actualmente";NA;"Lo uso en el trabajo regularmente";"Lo uso exclusivamente en proyectos personales";"No lo uso actualmente";"Jupyter Notebooks, PyCharm";"Aprendizaje no Supervisado (EM, K-means, Apriori, etc), Aprendizaje Supervisado (Regresión lineal/logística, SVM, ANOVA, HMM, etc)";"Bogotá";"25 a 29 años";"Hombre";NA;"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"No";"Sí";"Sí";"Sí";"Sí";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"Sí";"No";"Sí";"Sí";"Sí";"Sí";"No"
2019-06-12 19:16:07;"Empleado, tiempo completo";"Científico de Datos";"Análisis de datos usando métodos estadísticos o machine learning, Entrenamiento y validación de modelos de machine learning o estadísticos";"Todo el tiempo o casi todo el tiempo";"50 a 99";"Empresa colombiana solo con ventas locales";"Otra";NA;"Muy rara vez o nunca";"7 años";"7 años";"Posgrado: Master";"Blog posts y Artículos, Cursos online gratis, Cursos online pagos o con certificaciones pagas, Cursos presenciales / Cursos de extensión, Educación formal pregrado, Educación formal posgrado, Libros, Papers de investigación, Videos";"1 semana o menos";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;"Algoritmos de Optimización, Aprendizaje no Supervisado (EM, K-means, Apriori, etc), Aprendizaje Supervisado (Regresión lineal/logística, SVM, ANOVA, HMM, etc), Redes Neuronales y Deep Learning (RNN, CNN, GAN, RBM, etc), Métodos Bayesianos (Naive, Gaussian, BBN, etc), Métodos no Paramétricos (kNN, Decision trees, etc), Métodos de Ensamble (Random forests, boosting, etc)";"Bogotá";"30 a 34 años";"Hombre";NA;"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"Sí";"Sí";"Sí";"Sí";"Sí";"No";"Sí";"No";"No"
2019-06-12 19:16:16;"Empleado, tiempo completo";"Administrador de Bases de Datos, Desarrollador Back-End / Front-End / Full-Stack";"Creación y mantenimiento de infraestructura de datos almacenamiento, ETL, etc, Desarrollo de software para recoger y procesar datos, Visualizaciones de datos y generación de dashboards";"Cerca de la mitad del tiempo";"2 a 9";"Empresa colombiana solo con ventas locales";"SaaS";"(8e+06,1e+07]";"Muy rara vez o nunca";"9 años";"2 años";"Posgrado: Especialización";"Blog posts y Artículos, Cursos online gratis, Especializaciones presenciales";"No recuerdo";NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;"Lo uso en el trabajo regularmente";NA;"Lo uso en el trabajo regularmente";"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"vim";NA;"Bogotá";"40 a 44 años";"Hombre";NA;"Sí";"No";"No";"No";"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"Sí";"No";"No";"No";"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"Sí"
2019-06-12 19:16:46;"Empleado, tiempo completo";"Científico de Datos";"Generación de reportes e informes, Identificación de problemas de negocio que pueden ser resueltos con datos";"Todo el tiempo o casi todo el tiempo";"1000 a 4999";"Empresa extranjera con sede y ventas en Colombia y en el exterior";"Telecomunicaciones";"(8e+06,1e+07]";"Muy rara vez o nunca";"10 años";"4 años";"Pregrado universitario, con título";"Blog posts y Artículos, Conferencias presenciales y Meetups, Cursos online gratis, Cursos online pagos o con certificaciones pagas";"6 a 7 semanas";NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo, pero con poca frecuencia";"Lo uso en el trabajo regularmente";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lo uso en el trabajo, pero con poca frecuencia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Métodos no Paramétricos (kNN, Decision trees, etc)";"Bogotá";"45 a 50 años";"Mujer";NA;"No";"No";"Sí";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"No";"No";"No";"No";"No";"No";"No";"Sí";"Sí";"Sí";"No";"No";"No";"Sí";"No";"No";"No"
